Epoch,SGD,AdaGrad,RMSprop,Momentum,Adam
1,2.3044192790985107,1.9196891784667969,3.6568405628204346,0.05467884615063667,0.11129392683506012
2,2.3029584884643555,1.9440988302230835,1.972772240638733,0.04778570681810379,0.10663586854934692
3,2.3033435344696045,1.9162653684616089,1.8279290199279785,0.03905574977397919,0.12387973815202713
4,2.302330255508423,1.915483832359314,1.6971807479858398,0.039574239403009415,0.12174674868583679
5,2.301302671432495,1.919260859489441,1.6536520719528198,0.03339524194598198,0.11302366107702255
6,2.300840377807617,1.9047460556030273,1.5676313638687134,0.032598353922367096,0.13820090889930725
7,2.3009510040283203,1.9005932807922363,1.5185818672180176,0.041091375052928925,0.1627054661512375
8,2.2991983890533447,1.904615044593811,1.499773621559143,0.032634295523166656,0.14820043742656708
9,2.298816442489624,1.9020243883132935,1.4010494947433472,0.027689538896083832,0.06929472088813782
10,2.2994225025177,1.8610446453094482,1.4054391384124756,0.025271162390708923,0.06699148565530777
11,2.298091173171997,1.8667395114898682,1.3421498537063599,0.026218555867671967,0.08262848854064941
12,2.2978880405426025,1.8663157224655151,1.3568720817565918,0.02294193208217621,0.09466710686683655
13,2.2974326610565186,1.852382779121399,1.3222225904464722,0.025047719478607178,0.12566757202148438
14,2.2974627017974854,1.8598313331604004,1.282012939453125,0.02664523385465145,0.10885125398635864
15,2.2956485748291016,1.8669250011444092,1.278093934059143,0.023944122716784477,0.14350329339504242
16,2.2959465980529785,1.8232474327087402,1.2780877351760864,0.02409704215824604,0.14689674973487854
17,2.2955782413482666,1.833847165107727,1.1843458414077759,0.020721718668937683,0.09260866045951843
18,2.294651746749878,1.829966425895691,1.1674367189407349,0.018919330090284348,0.07918067276477814
19,2.2936623096466064,1.836167335510254,1.1334924697875977,0.02435128204524517,0.08467806875705719
20,2.2936418056488037,1.817671537399292,1.124882698059082,0.021212857216596603,0.10054772347211838
21,2.2931652069091797,1.8164633512496948,1.0959709882736206,0.017891110852360725,0.08955080807209015
22,2.2928719520568848,1.8101729154586792,1.104454755783081,0.017172330990433693,0.109235480427742
23,2.290499687194824,1.7866493463516235,1.0922130346298218,0.01569286733865738,0.12738847732543945
24,2.290273904800415,1.7982542514801025,1.0836243629455566,0.017522500827908516,0.12488383054733276
25,2.2894463539123535,1.793163776397705,0.9760614633560181,0.01687152311205864,0.08393216878175735
26,2.2888169288635254,1.7759590148925781,0.991536021232605,0.016745351254940033,0.07170630991458893
27,2.2887415885925293,1.7862095832824707,0.9721534252166748,0.015064846724271774,0.07364331185817719
28,2.288633346557617,1.7776402235031128,0.9716417193412781,0.015702426433563232,0.08328522741794586
29,2.287003993988037,1.7794079780578613,0.9631772041320801,0.014341252855956554,0.09916193038225174
30,2.2851386070251465,1.7645069360733032,0.9698930382728577,0.014596805907785892,0.12341471761465073
31,2.284200429916382,1.7631726264953613,0.9323027729988098,0.016386795789003372,0.12614373862743378
