Epoch,Optimizer,Train_Accuracy,Val_Accuracy,Train_Loss,Val_Loss,Top1_Train_Error,Top1_Val_Error,Top5_Train_Error,Top5_Val_Error
1,SGD,0.10688000172376633,0.10989999771118164,2.2993316650390625,2.290882110595703,0.8931199982762337,0.8901000022888184,0.44686001539230347,0.4077000021934509
2,SGD,0.10989999771118164,0.11810000240802765,2.28408145904541,2.276578426361084,0.8901000022888184,0.8818999975919724,0.3880400061607361,0.38380002975463867
3,SGD,0.1295199990272522,0.1485999971628189,2.2681727409362793,2.257542371749878,0.8704800009727478,0.8514000028371811,0.37602001428604126,0.3579999804496765
4,SGD,0.1743600070476532,0.18770000338554382,2.2436184883117676,2.225508689880371,0.8256399929523468,0.8122999966144562,0.34130001068115234,0.3166999816894531
5,SGD,0.213919997215271,0.23520000278949738,2.2014901638031006,2.171471357345581,0.786080002784729,0.7647999972105026,0.2918400168418884,0.2669000029563904
6,SGD,0.2395000010728836,0.263700008392334,2.139005422592163,2.1037473678588867,0.7604999989271164,0.736299991607666,0.25620001554489136,0.24309998750686646
7,SGD,0.2662599980831146,0.27489998936653137,2.072150468826294,2.038870096206665,0.7337400019168854,0.7251000106334686,0.23651999235153198,0.23110002279281616
8,SGD,0.2854599952697754,0.29910001158714294,2.014183521270752,1.98738694190979,0.7145400047302246,0.7008999884128571,0.22263997793197632,0.21369999647140503
9,SGD,0.29789999127388,0.3046000003814697,1.9736117124557495,1.9545286893844604,0.70210000872612,0.6953999996185303,0.2111799716949463,0.20759999752044678
10,SGD,0.3093799948692322,0.3179999887943268,1.9452548027038574,1.926783561706543,0.6906200051307678,0.6820000112056732,0.19818001985549927,0.1933000087738037
11,SGD,0.3183799982070923,0.32829999923706055,1.9216386079788208,1.9055242538452148,0.6816200017929077,0.6717000007629395,0.18761998414993286,0.18209999799728394
12,SGD,0.32982000708580017,0.3402000069618225,1.8962582349777222,1.87605881690979,0.6701799929141998,0.6597999930381775,0.1772800087928772,0.1718999743461609
