Epoch,Optimizer,Train_Accuracy,Val_Accuracy,Train_Loss,Val_Loss,Top1_Train_Error,Top1_Val_Error,Top5_Train_Error,Top5_Val_Error
1,SGD,0.10493999719619751,0.13779999315738678,2.3052616119384766,2.294743061065674,0.8950600028038025,0.8622000068426132,0.48482000827789307,0.4291999936103821
2,SGD,0.122079998254776,0.1696999967098236,2.2940778732299805,2.286541700363159,0.877920001745224,0.8303000032901764,0.452239990234375,0.4017000198364258
3,SGD,0.14113999903202057,0.18299999833106995,2.285125494003296,2.2767341136932373,0.8588600009679794,0.81700000166893,0.42163997888565063,0.3791999816894531
4,SGD,0.15357999503612518,0.2184000015258789,2.274198055267334,2.2625732421875,0.8464200049638748,0.7815999984741211,0.3992000222206116,0.3273000121116638
5,SGD,0.1694200038909912,0.2393999993801117,2.2569057941436768,2.239438772201538,0.8305799961090088,0.7606000006198883,0.3652999997138977,0.29339998960494995
6,SGD,0.18772000074386597,0.2667999863624573,2.229980230331421,2.200901746749878,0.812279999256134,0.7332000136375427,0.3294000029563904,0.25989997386932373
7,SGD,0.20798000693321228,0.2766000032424927,2.186913251876831,2.1397907733917236,0.7920199930667877,0.7233999967575073,0.2950800061225891,0.2346000075340271
8,SGD,0.22606000304222107,0.2874000072479248,2.126516103744507,2.0689444541931152,0.7739399969577789,0.7125999927520752,0.2652199864387512,0.2200000286102295
9,SGD,0.23720000684261322,0.29750001430511475,2.072315216064453,2.0175533294677734,0.7627999931573868,0.7024999856948853,0.24602001905441284,0.21719998121261597
10,SGD,0.2514199912548065,0.30390000343322754,2.0358498096466064,1.9863003492355347,0.7485800087451935,0.6960999965667725,0.23255997896194458,0.20509999990463257
11,SGD,0.26260000467300415,0.30799999833106995,2.010643482208252,1.964690089225769,0.7373999953269958,0.69200000166893,0.2196199893951416,0.19779998064041138
12,SGD,0.2726599872112274,0.3158999979496002,1.9889822006225586,1.9447394609451294,0.7273400127887726,0.6841000020503998,0.21130001544952393,0.19050002098083496
13,SGD,0.28123998641967773,0.3230000138282776,1.9704139232635498,1.9241855144500732,0.7187600135803223,0.6769999861717224,0.20183998346328735,0.18559998273849487
