Epoch,Optimizer,Train_Accuracy,Val_Accuracy,Train_Loss,Val_Loss,Top1_Train_Error,Top1_Val_Error,Top5_Train_Error,Top5_Val_Error
1,SGD,0.5945799946784973,0.20319999754428864,1.325640320777893,2.3880133628845215,0.4054200053215027,0.7968000024557114,0.07476001977920532,0.2660999894142151
2,SGD,0.8428999781608582,0.8281999826431274,0.4988028407096863,0.5063756108283997,0.15710002183914185,0.17180001735687256,0.0059400200843811035,0.006399989128112793
3,SGD,0.8959800004959106,0.8784000277519226,0.3232291340827942,0.3576769530773163,0.10401999950408936,0.12159997224807739,0.0027199983596801758,0.0040000081062316895
4,SGD,0.9192799925804138,0.8838000297546387,0.2483203113079071,0.34970447421073914,0.08072000741958618,0.11619997024536133,0.0016199946403503418,0.003600001335144043
1,AdaGrad,0.935920000076294,0.9269000291824341,0.19299271702766418,0.2173227071762085,0.06407999992370605,0.07309997081756592,0.001483321189880371,0.0015000104904174805
2,AdaGrad,0.9630600214004517,0.9284999966621399,0.11583998799324036,0.21306997537612915,0.03693997859954834,0.07150000333786011,0.00037997961044311523,0.001600027084350586
3,AdaGrad,0.9783599972724915,0.9376000165939331,0.07127021253108978,0.1912972778081894,0.021640002727508545,0.062399983406066895,0.00010001659393310547,0.0012999773025512695
4,AdaGrad,0.9890199899673462,0.9395999908447266,0.04374247416853905,0.19462163746356964,0.010980010032653809,0.06040000915527344,6.002187728881836e-05,0.0015000104904174805
1,RMSprop,0.6436799764633179,0.39989998936653137,1.0569428205490112,3.6092405319213867,0.35632002353668213,0.6001000106334686,0.03896665573120117,0.15960001945495605
2,RMSprop,0.8281999826431274,0.6110000014305115,0.5064954161643982,1.7885115146636963,0.17180001735687256,0.3889999985694885,0.008080005645751953,0.031599998474121094
3,RMSprop,0.8786600232124329,0.7520999908447266,0.3594624996185303,0.8614367246627808,0.12133997678756714,0.24790000915527344,0.004239976406097412,0.020500004291534424
4,RMSprop,0.907800018787384,0.8077999949455261,0.272156685590744,0.6417054533958435,0.09219998121261597,0.19220000505447388,0.0026000142097473145,0.011600017547607422
1,Momentum,0.9459800124168396,0.8932999968528748,0.15943795442581177,0.3315037190914154,0.0540199875831604,0.10670000314712524,0.002566695213317871,0.0026999711990356445
2,Momentum,0.9603599905967712,0.9010999798774719,0.11665002256631851,0.3180314600467682,0.03964000940322876,0.09890002012252808,0.0005400180816650391,0.0023000240325927734
3,Momentum,0.9659000039100647,0.9035999774932861,0.10058808326721191,0.31277891993522644,0.0340999960899353,0.09640002250671387,0.0003399848937988281,0.0023999810218811035
4,Momentum,0.9693400263786316,0.9049000144004822,0.09019485116004944,0.3119972050189972,0.030659973621368408,0.09509998559951782,0.00028002262115478516,0.0020999908447265625
1,Adam,0.9054800271987915,0.7990999817848206,0.27676162123680115,0.6639736890792847,0.0945199728012085,0.20090001821517944,0.002566695213317871,0.014599978923797607
2,Adam,0.9301000237464905,0.8095999956130981,0.2039823979139328,0.6812430620193481,0.06989997625350952,0.19040000438690186,0.0012199878692626953,0.019800007343292236
3,Adam,0.9434599876403809,0.8431000113487244,0.16251040995121002,0.5403508543968201,0.05654001235961914,0.15689998865127563,0.0004400014877319336,0.007700026035308838
4,Adam,0.9567599892616272,0.8766000270843506,0.1242837980389595,0.45291924476623535,0.0432400107383728,0.12339997291564941,0.00037997961044311523,0.004700005054473877
